k1,k2,k4,k5,c1,c2,c4,c5,b1,b2,w1,w2,omega,Objective
30180.0,20121.0,20121.0,30180.0,640.0,960.0,640.0,640.0,3.5,2.0,0.75,1.2,-100.0,0.003
30180.0,30180.0,30180.0,30180.0,640.0,640.0,640.0,640.0,2.0,2.0,0.75,1.2,-100.0,0.0038
30180.0,30180.0,30180.0,30180.0,640.0,640.0,640.0,640.0,2.0,3.5,1.2,1.2,-100.0,0.0038
30180.0,30180.0,30180.0,30180.0,640.0,640.0,640.0,640.0,2.0,3.5,1.2,0.75,-100.0,0.0038
30180.0,30180.0,30180.0,30180.0,640.0,640.0,640.0,640.0,2.0,3.5,0.75,1.2,-100.0,0.0039
30180.0,30180.0,30180.0,30180.0,640.0,640.0,640.0,640.0,3.5,2.0,1.2,0.75,-100.0,0.0038
30180.0,30180.0,30180.0,30180.0,640.0,640.0,640.0,640.0,3.5,2.0,0.75,0.75,-100.0,0.0038
30180.0,30180.0,30180.0,30180.0,640.0,640.0,640.0,640.0,3.5,2.0,1.2,0.75,-100.0,0.0038
30180.0,30180.0,30180.0,30180.0,640.0,640.0,640.0,640.0,3.5,2.0,1.2,0.75,-100.0,0.0038
30180.0,30180.0,30180.0,30180.0,640.0,640.0,640.0,640.0,2.0,3.5,0.75,1.2,-100.0,0.0039
30180.0,30180.0,30180.0,30180.0,640.0,640.0,640.0,640.0,3.5,2.0,1.2,0.75,-100.0,0.0038
30180.0,30180.0,30180.0,30180.0,640.0,640.0,640.0,640.0,3.5,2.0,1.2,0.75,-100.0,0.0038
30180.0,30180.0,30180.0,30180.0,640.0,640.0,640.0,640.0,3.5,2.0,0.75,1.2,-100.0,0.0039
30180.0,30180.0,30180.0,30180.0,640.0,640.0,640.0,640.0,3.5,2.0,0.75,1.2,-100.0,0.0039
30180.0,30180.0,30180.0,30180.0,640.0,640.0,640.0,640.0,2.0,3.5,1.2,0.75,100.0,0.0046
30180.0,30180.0,30180.0,30180.0,640.0,640.0,640.0,640.0,3.5,3.5,1.2,0.75,-100.0,0.0038
30180.0,30180.0,30180.0,30180.0,640.0,640.0,640.0,640.0,3.5,2.0,0.75,1.2,-100.0,0.0039
30180.0,30180.0,30180.0,30180.0,640.0,960.0,640.0,640.0,2.0,3.5,0.75,1.2,-100.0,0.0037
30180.0,30180.0,30180.0,30180.0,640.0,640.0,640.0,640.0,3.5,2.0,1.2,0.75,100.0,0.0046
30180.0,30180.0,30180.0,30180.0,640.0,640.0,640.0,640.0,3.5,2.0,1.2,1.2,-100.0,0.0038
