k1,k2,k4,k5,c1,c2,c4,c5,b1,b2,w1,w2,omega,Objective
20121.04,20121.47,20121.13,20121.15,959.99,959.95,959.99,959.96,2.74,2.7,1.03,1.02,0.0,16466.5428
22492.84,20121.29,20121.26,30179.86,956.63,949.97,958.72,934.67,2.13,3.5,1.13,0.72,-0.0,242.9705
22289.38,20121.39,20121.08,30179.58,959.73,959.2,956.84,959.68,2.05,3.46,1.18,0.77,-0.0,5657.4377
20122.91,21097.83,30179.16,20121.97,951.81,959.38,957.3,937.3,3.39,2.02,1.17,0.82,-0.0,862.7023
22332.39,20121.03,20121.07,30180.0,959.4,959.91,957.53,959.57,2.0,3.49,1.17,0.76,0.0,1351.9895
20121.7,21612.55,30179.69,20121.15,958.64,959.89,959.54,959.24,3.43,2.18,1.07,0.75,-0.0,6731.7121
29660.62,20121.26,20123.99,22806.05,940.86,855.6,956.14,956.38,3.38,2.06,0.77,1.22,-0.0,38305.9208
22634.55,20121.23,20121.79,30179.37,958.95,959.4,959.11,959.17,2.03,3.44,1.22,0.76,0.0,3560.8549
30178.96,20121.15,20121.06,22034.87,959.98,959.68,958.43,957.67,3.5,2.0,0.79,1.17,0.0,483.351
20122.0,30179.92,21793.55,20121.4,959.72,959.11,958.97,958.88,2.0,3.4,0.78,1.13,-0.0,1524.4522
20121.15,21765.67,25716.23,20122.41,905.7,932.22,930.4,957.8,3.49,2.09,1.16,0.92,-0.0,2915.5634
20121.2,30179.94,21361.35,20121.11,959.57,956.74,959.85,959.59,2.05,3.47,0.78,1.07,0.0,1570.9904
20121.71,20750.0,30179.66,20121.62,958.86,955.87,957.71,958.67,3.39,2.03,1.2,0.92,0.0,14895.9991
22070.83,20121.69,20121.1,30179.88,959.35,959.66,958.93,958.49,2.06,3.49,1.14,0.77,-0.0,2714.5432
22347.36,20121.29,20121.46,30179.89,958.34,959.25,958.17,958.39,2.02,3.49,1.18,0.77,0.0,974.3543
20123.34,30178.19,20262.93,20122.36,949.94,945.92,957.46,943.8,2.02,3.49,0.81,1.16,-0.0,602.9247
20121.33,22263.58,30180.0,20121.03,958.54,954.69,959.61,958.93,3.48,2.0,1.17,0.77,0.0,30201.8291
20122.61,21884.86,25929.15,20124.49,812.6,924.83,894.3,922.11,3.26,2.0,-0.79,0.75,0.08,144.4654
20121.1,30179.52,22557.62,20121.5,958.98,959.75,958.63,958.91,2.07,3.46,0.77,1.2,0.0,1463.6142
22552.08,20121.11,20121.02,30178.97,956.77,956.63,959.31,959.18,2.24,3.48,1.19,0.74,0.0,14557.3823
